ID,RA[hr],Dec[deg],ID_Simbad,ID_MWSC,ID_WEBDA,ID_Piskunov,ID_Kharchenko,ID_Salaris,ID_vandenBergh,ID_Cantat-Gaudin,ID_Lynga,dist[pc],err_dist[pc],N_dist[pc],age[Myr],err_age[Myr],N_age[Myr],[Fe/H],err_[Fe/H],N_[Fe/H],mass[Msun],err_mass[Msun],N_mass[Msun],rgc[pc],err_rgc[pc],N_rgc[pc],rhm[pc],err_rhm[pc],N_rhm[pc],Av[mag],err_Av[mag],N_Av[mag]
C_1512-581,15 16 46.560,-58 22 22.800,C_1512-581,Lynga_3,,,Lynga_3,,,Lynga_3,Lynga_3,5206.733333333334,851.3882014860375,3.0,822.2426499470695,0.0,2.0,,,,57.666666666666664,15.785600564602703,3.0,5306.3,0.0,1.0,4.56762461295166,3.4221685061052862,1.0,4.9984,0.0,1.0
[DBS2003]_140,15 10 03.000,-58 17 12.000,[DBS2003]_140,DBSB_140,,,DBSB_140,,,,,1535.0,0.0,2.0,19.952623149688787,0.0,2.0,,,,31.0,0.0,2.0,,,,5.037444622407728,0.0,1.0,5.664000000000001,0.0,1.0
Cl_Loden_2158,15 35 04.000,-58 16 30.000,Cl_Loden_2158,Loden_2158,,,Loden_2158,,,,,6206.0,0.0,2.0,316.22776601683796,0.0,2.0,,,,74.5,0.0,2.0,,,,4.816018485159036,0.0,1.0,5.3312,0.0,1.0
ESO_128-16,10 53 40.000,-58 14 42.000,ESO_128-16,ESO_128-16,ESO_128-16,ESO_128-16,ESO_128-16,,,,,936.5,18.25,4.0,556.0864282351358,160.5152366784398,4.0,,,,45.610899001874756,9.44774500694759,4.0,,,,0.49820880880955554,0.0,1.0,0.09493333333333333,0.0008709296863229064,3.0
NGC_3293,10 35 52.800,-58 13 51.600,NGC_3293,NGC_3293,NGC_3293,NGC_3293,NGC_3293,,NGC_3293,NGC_3293,NGC_3293,2439.6857142857143,32.9033676619665,7.0,10.417865343692725,3.3262426826069733,5.0,,,,243.60921435926494,108.1679821154705,5.0,8024.8,0.0,1.0,1.9506206503697114,0.4022648865393049,1.0,0.9024000000000001,0.0673437615687023,3.0
C_0959-579,10 01 19.440,-58 13 04.800,C_0959-579,vdBergh-Hagen_84,,,vdBergh-Hagen_84,,,vdBergh-Hagen_84,vdBergh-Hagen_84,2314.233333333333,842.8149873862964,3.0,50.118723362727245,0.0,2.0,,,,38.333333333333336,0.13608276348795434,3.0,8570.4,0.0,1.0,0.8552582276842453,0.06181456920976797,1.0,1.6,0.0,1.0
ESO_129-19,11 21 09.000,-58 12 54.000,ESO_129-19,ESO_129-19,,,ESO_129-19,,,,,1791.0,0.0,2.0,1000.0,0.0,2.0,,,,21.0,0.0,2.0,,,,1.5868873169489548,0.0,1.0,1.3312,0.0,1.0
Cl_Loden_1378,14 30 07.000,-58 12 54.000,Cl_Loden_1378,Loden_1378,,,Loden_1378,,,,,1346.0,0.0,2.0,691.8309709189363,0.0,2.0,,,,110.0,0.0,2.0,,,,2.2511657286950286,0.0,1.0,1.5328,0.0,1.0
ESO_139-13,17 37 50.000,-58 08 42.000,ESO_139-13,ESO_139-13,ESO_139-13,ESO_139-13,ESO_139-13,,,,,1500.0,0.0,4.0,454.1146895557677,128.55705144725047,4.0,-0.32,0.0,1.0,33.69228357025327,9.949216682133095,4.0,,,,1.5315307826367817,0.0,1.0,0.6400000000000001,0.0,3.0
C_1026-579,10 28 26.000,-58 08 06.000,C_1026-579,Ruprecht_89,,Ruprecht_89,Ruprecht_89,,,,Ruprecht_89,750.0,0.0,3.0,954.992586021437,0.0,3.0,,,,29.640205972507808,7.47351352877242,4.0,,,,0.7011827679541893,0.0,1.0,0.128,0.0,2.0
